"locus_name","accession","tissue","timepoint","expression_value"
"BRAA02G018970.3C","Ro18","apex",11,0.851347620563972
"BRAA02G018970.3C","Ro18","apex",29,18.8456804380607
"BRAA02G018970.3C","Ro18","apex",31,24.929784855315
"BRAA02G018970.3C","Ro18","apex",33,19.9498041093827
"BRAA02G018970.3C","Ro18","apex",35,22.5386282046548
"BRAA02G018970.3C","Ro18","apex",13,6.24597918055072
"BRAA02G018970.3C","Ro18","apex",15,0.581664403089626
"BRAA02G018970.3C","Ro18","apex",17,8.68962397023024
"BRAA02G018970.3C","Ro18","apex",19,5.22255762651299
"BRAA02G018970.3C","Ro18","apex",21,3.7067650678393
"BRAA02G018970.3C","Ro18","apex",23,20.1524235506566
"BRAA02G018970.3C","Ro18","apex",25,12.5893655644954
"BRAA02G018970.3C","Ro18","apex",27,23.1077317187912
"BRAA02G043220.3C","Ro18","apex",11,4.99075808256682
"BRAA02G043220.3C","Ro18","apex",29,28.5304630843813
"BRAA02G043220.3C","Ro18","apex",31,36.0483776252437
"BRAA02G043220.3C","Ro18","apex",33,10.6142346582518
"BRAA02G043220.3C","Ro18","apex",35,8.3961383766447
"BRAA02G043220.3C","Ro18","apex",13,3.93019684989111
"BRAA02G043220.3C","Ro18","apex",15,9.79934126145695
"BRAA02G043220.3C","Ro18","apex",17,17.6009919637996
"BRAA02G043220.3C","Ro18","apex",19,18.8740883796798
"BRAA02G043220.3C","Ro18","apex",21,14.7204685395655
"BRAA02G043220.3C","Ro18","apex",23,36.9953413345477
"BRAA02G043220.3C","Ro18","apex",25,32.9635493553352
"BRAA02G043220.3C","Ro18","apex",27,21.8123278077101
"BRAA03G023790.3C","Ro18","apex",11,1.88475265710546
"BRAA03G023790.3C","Ro18","apex",29,112.541369091107
"BRAA03G023790.3C","Ro18","apex",31,109.651059087641
"BRAA03G023790.3C","Ro18","apex",33,57.4068411981276
"BRAA03G023790.3C","Ro18","apex",35,50.9176844478597
"BRAA03G023790.3C","Ro18","apex",13,3.05129007634657
"BRAA03G023790.3C","Ro18","apex",15,7.75781690193545
"BRAA03G023790.3C","Ro18","apex",17,31.592631944284
"BRAA03G023790.3C","Ro18","apex",19,33.6850119902601
"BRAA03G023790.3C","Ro18","apex",21,31.5053931837441
"BRAA03G023790.3C","Ro18","apex",23,131.402768504407
"BRAA03G023790.3C","Ro18","apex",25,107.474874125554
"BRAA03G023790.3C","Ro18","apex",27,116.677542791549
"BRAA03G051930.3C","Ro18","apex",11,18.1612764800844
"BRAA03G051930.3C","Ro18","apex",29,38.2996317860209
"BRAA03G051930.3C","Ro18","apex",31,27.0532682171155
"BRAA03G051930.3C","Ro18","apex",33,20.4026282800509
"BRAA03G051930.3C","Ro18","apex",35,13.6147217740628
"BRAA03G051930.3C","Ro18","apex",13,19.6922634110477
"BRAA03G051930.3C","Ro18","apex",15,26.8286740541634
"BRAA03G051930.3C","Ro18","apex",17,38.5001019575725
"BRAA03G051930.3C","Ro18","apex",19,45.0244239702869
"BRAA03G051930.3C","Ro18","apex",21,37.5065169387909
"BRAA03G051930.3C","Ro18","apex",23,52.9488304396593
"BRAA03G051930.3C","Ro18","apex",25,53.2543805070976
"BRAA03G051930.3C","Ro18","apex",27,31.3866969501274
"BRAA04G005470.3C","Ro18","apex",11,0.107732031741349
"BRAA04G005470.3C","Ro18","apex",29,5.46814592891549
"BRAA04G005470.3C","Ro18","apex",31,7.56643797948808
"BRAA04G005470.3C","Ro18","apex",33,14.1861724221807
"BRAA04G005470.3C","Ro18","apex",35,17.7586082559889
"BRAA04G005470.3C","Ro18","apex",13,0.543702842783799
"BRAA04G005470.3C","Ro18","apex",15,0.0873814267117072
"BRAA04G005470.3C","Ro18","apex",17,0
"BRAA04G005470.3C","Ro18","apex",19,0.145976622960984
"BRAA04G005470.3C","Ro18","apex",21,0.113205902803322
"BRAA04G005470.3C","Ro18","apex",23,1.4392760952333
"BRAA04G005470.3C","Ro18","apex",25,0.618102044440073
"BRAA04G005470.3C","Ro18","apex",27,4.29038803718953
"BRAA05G005370.3C","Ro18","apex",11,1.85980751589378
"BRAA05G005370.3C","Ro18","apex",29,40.3445654319443
"BRAA05G005370.3C","Ro18","apex",31,36.1729137927853
"BRAA05G005370.3C","Ro18","apex",33,19.7064313990656
"BRAA05G005370.3C","Ro18","apex",35,17.9980064308119
"BRAA05G005370.3C","Ro18","apex",13,2.85248781208033
"BRAA05G005370.3C","Ro18","apex",15,6.85464112662838
"BRAA05G005370.3C","Ro18","apex",17,13.9914208950204
"BRAA05G005370.3C","Ro18","apex",19,14.831263817993
"BRAA05G005370.3C","Ro18","apex",21,16.235151629521
"BRAA05G005370.3C","Ro18","apex",23,44.3434119142647
"BRAA05G005370.3C","Ro18","apex",25,39.7268098167683
"BRAA05G005370.3C","Ro18","apex",27,37.4781552713804
"BRAA06G025360.3C","Ro18","apex",11,2.21483101599732
"BRAA06G025360.3C","Ro18","apex",29,18.4540030231232
"BRAA06G025360.3C","Ro18","apex",31,17.9247643817943
"BRAA06G025360.3C","Ro18","apex",33,6.08504373701615
"BRAA06G025360.3C","Ro18","apex",35,5.39455824394725
"BRAA06G025360.3C","Ro18","apex",13,2.46467516436622
"BRAA06G025360.3C","Ro18","apex",15,5.20684956681315
"BRAA06G025360.3C","Ro18","apex",17,6.44569463126883
"BRAA06G025360.3C","Ro18","apex",19,6.45168307932682
"BRAA06G025360.3C","Ro18","apex",21,4.42762527458298
"BRAA06G025360.3C","Ro18","apex",23,13.7157769025614
"BRAA06G025360.3C","Ro18","apex",25,16.4547604852368
"BRAA06G025360.3C","Ro18","apex",27,12.9277021491538
"BRAA07G030470.3C","Ro18","apex",11,0.0661455628224436
"BRAA07G030470.3C","Ro18","apex",29,72.1180088073263
"BRAA07G030470.3C","Ro18","apex",31,110.321414701042
"BRAA07G030470.3C","Ro18","apex",33,94.5715500572042
"BRAA07G030470.3C","Ro18","apex",35,125.942724347148
"BRAA07G030470.3C","Ro18","apex",13,0.90341996285659
"BRAA07G030470.3C","Ro18","apex",15,0.107096891633895
"BRAA07G030470.3C","Ro18","apex",17,0.0599769457420149
"BRAA07G030470.3C","Ro18","apex",19,0.145148188263683
"BRAA07G030470.3C","Ro18","apex",21,3.82219758613171
"BRAA07G030470.3C","Ro18","apex",23,28.8465109848855
"BRAA07G030470.3C","Ro18","apex",25,28.9457428779389
"BRAA07G030470.3C","Ro18","apex",27,65.7340134268648
"BRAA07G034100.3C","Ro18","apex",11,0.0110242604704073
"BRAA07G034100.3C","Ro18","apex",29,34.989596578589
"BRAA07G034100.3C","Ro18","apex",31,47.0830613547158
"BRAA07G034100.3C","Ro18","apex",33,39.6087460096327
"BRAA07G034100.3C","Ro18","apex",35,52.5889375964087
"BRAA07G034100.3C","Ro18","apex",13,1.12126880536058
"BRAA07G034100.3C","Ro18","apex",15,0.043571224768989
"BRAA07G034100.3C","Ro18","apex",17,0.0776874905663147
"BRAA07G034100.3C","Ro18","apex",19,0.0596914576604858
"BRAA07G034100.3C","Ro18","apex",21,2.57138604964283
"BRAA07G034100.3C","Ro18","apex",23,15.305643695019
"BRAA07G034100.3C","Ro18","apex",25,16.3960192667427
"BRAA07G034100.3C","Ro18","apex",27,31.7152895081008
"BRAA09G045310.3C","Ro18","apex",11,0.0110242604704073
"BRAA09G045310.3C","Ro18","apex",29,29.3269064839197
"BRAA09G045310.3C","Ro18","apex",31,49.831636507616
"BRAA09G045310.3C","Ro18","apex",33,109.737727202856
"BRAA09G045310.3C","Ro18","apex",35,118.637067394739
"BRAA09G045310.3C","Ro18","apex",13,1.67793044638706
"BRAA09G045310.3C","Ro18","apex",15,0.0372395456992751
"BRAA09G045310.3C","Ro18","apex",17,0.147395688319227
"BRAA09G045310.3C","Ro18","apex",19,0
"BRAA09G045310.3C","Ro18","apex",21,1.10587520250076
"BRAA09G045310.3C","Ro18","apex",23,9.17585659417096
"BRAA09G045310.3C","Ro18","apex",25,5.08674208932459
"BRAA09G045310.3C","Ro18","apex",27,23.6372785581936
"BRAA02G018970.3C","Col0","apex",7,0.270487796670725
"BRAA02G018970.3C","Col0","apex",8,0
"BRAA02G018970.3C","Col0","apex",9,0.229006051764798
"BRAA02G018970.3C","Col0","apex",10,0.172617239458853
"BRAA02G018970.3C","Col0","apex",11,0.0701534054231686
"BRAA02G018970.3C","Col0","apex",12,0.191873155649629
"BRAA02G018970.3C","Col0","apex",13,3.37435946390251
"BRAA02G018970.3C","Col0","apex",14,34.1153281723828
"BRAA02G018970.3C","Col0","apex",15,178.936812309082
"BRAA02G018970.3C","Col0","apex",16,204.279871378998
"BRAA07G030470.3C","Col0","apex",7,0.270487796670725
"BRAA07G030470.3C","Col0","apex",8,0
"BRAA07G030470.3C","Col0","apex",9,0.229006051764798
"BRAA07G030470.3C","Col0","apex",10,0.172617239458853
"BRAA07G030470.3C","Col0","apex",11,0.0701534054231686
"BRAA07G030470.3C","Col0","apex",12,0.191873155649629
"BRAA07G030470.3C","Col0","apex",13,3.37435946390251
"BRAA07G030470.3C","Col0","apex",14,34.1153281723828
"BRAA07G030470.3C","Col0","apex",15,178.936812309082
"BRAA07G030470.3C","Col0","apex",16,204.279871378998
"BRAA07G034100.3C","Col0","apex",7,0.270487796670725
"BRAA07G034100.3C","Col0","apex",8,0
"BRAA07G034100.3C","Col0","apex",9,0.229006051764798
"BRAA07G034100.3C","Col0","apex",10,0.172617239458853
"BRAA07G034100.3C","Col0","apex",11,0.0701534054231686
"BRAA07G034100.3C","Col0","apex",12,0.191873155649629
"BRAA07G034100.3C","Col0","apex",13,3.37435946390251
"BRAA07G034100.3C","Col0","apex",14,34.1153281723828
